Key,Type,Desc,Chinese,English,Japanese
Chapter_Name_300000,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300001,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300002,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300003,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300004,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300005,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300006,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300007,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300008,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300009,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300010,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300011,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300012,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300013,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300014,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300015,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300016,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300017,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300018,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300019,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300020,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300021,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300022,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300023,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300024,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300025,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300026,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
Chapter_Name_300027,Text,,第1章: 雾森契约,第1章: 雾森契约,第1章: 雾森契约
Chapter_Name_300028,Text,,第2章: 星崖预言,第2章: 星崖预言,第2章: 星崖预言
Chapter_Name_300029,Text,,第3章: 月影密钥,第3章: 月影密钥,第3章: 月影密钥
